Start,Finish,Active Calories (kcal),Body Fat Percentage (%),Body Mass Index (count),Dietary Calories (cal),Distance (mi),Flights Climbed (count),Lean Body Mass (lb),Number of Times Fallen (count),Oxygen Saturation (%),Resting Calories (kcal),Steps (count),Weight (lb)
20-Dec-2014 00:00,21-Dec-2014 00:00,0.0,0.0,0.0,0.0,2.95585557352708,6.0,0.0,0.0,0.0,0.0,0.0,0.0
21-Dec-2014 00:00,22-Dec-2014 00:00,0.0,0.0,0.0,0.0,2.27241118654095,7.0,0.0,0.0,0.0,0.0,0.0,0.0
22-Dec-2014 00:00,23-Dec-2014 00:00,0.0,0.0,0.0,0.0,2.94768379324898,10.0,0.0,0.0,0.0,0.0,0.0,0.0
23-Dec-2014 00:00,24-Dec-2014 00:00,0.0,0.0,0.0,0.0,3.66228389291874,14.0,0.0,0.0,0.0,0.0,0.0,0.0
24-Dec-2014 00:00,25-Dec-2014 00:00,0.0,0.0,0.0,0.0,2.47468524053472,9.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Dec-2014 00:00,26-Dec-2014 00:00,0.0,0.0,0.0,0.0,4.39681940085093,14.0,0.0,0.0,0.0,0.0,0.0,0.0
26-Dec-2014 00:00,27-Dec-2014 00:00,0.0,0.0,0.0,0.0,2.55880181223479,13.0,0.0,0.0,0.0,0.0,0.0,0.0
27-Dec-2014 00:00,28-Dec-2014 00:00,0.0,0.0,0.0,0.0,3.70640168439071,10.0,0.0,0.0,0.0,0.0,0.0,0.0
28-Dec-2014 00:00,29-Dec-2014 00:00,0.0,0.0,0.0,0.0,3.2430503321048,6.0,0.0,0.0,0.0,0.0,0.0,0.0
29-Dec-2014 00:00,30-Dec-2014 00:00,0.0,0.0,0.0,0.0,2.96883796272541,12.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2014 00:00,31-Dec-2014 00:00,0.0,0.0,0.0,0.0,2.24212726571199,9.0,0.0,0.0,0.0,0.0,0.0,0.0
31-Dec-2014 00:00,01-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.64092698631598,17.0,0.0,0.0,0.0,0.0,0.0,0.0
01-Jan-2015 00:00,02-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.73789137834084,8.0,0.0,0.0,0.0,0.0,0.0,0.0
02-Jan-2015 00:00,03-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.95370504993908,13.0,0.0,0.0,0.0,0.0,0.0,0.0
03-Jan-2015 00:00,04-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.72893256502087,8.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Jan-2015 00:00,05-Jan-2015 00:00,0.0,0.0,0.0,0.0,4.04464509302805,2.0,0.0,0.0,0.0,0.0,0.0,0.0
05-Jan-2015 00:00,06-Jan-2015 00:00,0.0,0.0,0.0,0.0,3.0428927873781,7.0,0.0,0.0,0.0,0.0,0.0,0.0
06-Jan-2015 00:00,07-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.07552308581526,6.0,0.0,0.0,0.0,0.0,0.0,0.0
07-Jan-2015 00:00,08-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.45241791850281,6.0,0.0,0.0,0.0,0.0,0.0,0.0
08-Jan-2015 00:00,09-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.5114023555638,3.0,0.0,0.0,0.0,0.0,0.0,0.0
09-Jan-2015 00:00,10-Jan-2015 00:00,0.0,0.0,0.0,0.0,0.591706348998103,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10-Jan-2015 00:00,11-Jan-2015 00:00,0.0,0.0,0.0,0.0,3.53598092612844,7.0,0.0,0.0,0.0,0.0,0.0,0.0
11-Jan-2015 00:00,12-Jan-2015 00:00,0.0,0.0,0.0,0.0,3.45637958722728,10.0,0.0,0.0,0.0,0.0,0.0,0.0
12-Jan-2015 00:00,13-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.51148002700454,7.0,0.0,0.0,0.0,0.0,0.0,0.0
13-Jan-2015 00:00,14-Jan-2015 00:00,0.0,0.0,0.0,0.0,1.90602331606245,4.0,0.0,0.0,0.0,0.0,0.0,0.0
14-Jan-2015 00:00,15-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.34810445294089,5.0,0.0,0.0,0.0,0.0,0.0,0.0
15-Jan-2015 00:00,16-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.31587373503782,7.0,0.0,0.0,0.0,0.0,0.0,0.0
16-Jan-2015 00:00,17-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.92875000641826,4.0,0.0,0.0,0.0,0.0,0.0,0.0
17-Jan-2015 00:00,18-Jan-2015 00:00,0.0,0.0,0.0,0.0,1.70297455067176,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2015 00:00,19-Jan-2015 00:00,0.0,0.0,0.0,0.0,0.0376692692912927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2015 00:00,20-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.6534359654525,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2015 00:00,21-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.1737358518892,3.0,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2015 00:00,22-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.22083850669654,11.0,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2015 00:00,23-Jan-2015 00:00,0.0,0.0,0.0,0.0,1.27775004933493,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2015 00:00,24-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.66010017152752,9.0,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2015 00:00,25-Jan-2015 00:00,0.0,0.0,0.0,0.0,3.11018728831947,4.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Jan-2015 00:00,26-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.49940231950681,6.0,0.0,0.0,0.0,0.0,0.0,0.0
26-Jan-2015 00:00,27-Jan-2015 00:00,0.0,0.0,0.0,0.0,2.14642270455839,3.0,0.0,0.0,0.0,0.0,0.0,0.0
